regime,bin,feature,pooled_ic,mean_ts_ic,rows
dispersion_12h,high,ret_168h,-0.01200483123596354,-0.02994749381051966,28512
dispersion_12h,high,oi_zscore,-0.010536621195060745,-0.03635301224746109,28512
dispersion_12h,high,ret_skew_168h,-0.019994795391842117,-0.037939746653612515,28512
dispersion_12h,high,cum_funding_24h,-0.015860188738342103,-0.03849322718288125,28512
dispersion_12h,high,ret_12h,-0.007836239039406657,-0.03875492400639366,28512
dispersion_12h,high,residual_12h,-0.009334690944789125,-0.039824143439854714,28512
dispersion_12h,high,taker_cvd_24h,-0.012582468493201328,-0.04529366736329259,28512
dispersion_12h,high,taker_cvd_12h,-0.013285142720517038,-0.04767040229352651,28512
dispersion_12h,high,ret_48h,-0.018413429172863805,-0.06313139191603953,28512
dispersion_12h,high,gk_vol_24h,-0.025235169726410156,-0.07478797994751225,28512
dispersion_12h,high,atr_14,-0.027842737528600302,-0.08233632861605716,28512
dispersion_12h,high,rvol_24h,-0.027656037739800788,-0.0833165881029722,28512
dispersion_12h,high,rvol_12h,-0.027221527202384996,-0.08483137470292731,28512
dispersion_12h,high,pct_coins_up_12h,,,28512
dispersion_12h,high,pct_coins_up_1h,,,28512
dispersion_12h,high,hour_sin,,,28512
dispersion_12h,high,hour_cos,,,28512
dispersion_12h,high,dow_sin,,,28512
dispersion_12h,high,dow_cos,,,28512
dispersion_12h,low,dist_from_high_24h,0.02307297118649623,0.05555004114866884,28545
dispersion_12h,low,gk_vol_24h,0.027339129294887517,0.03386309551196067,28545
dispersion_12h,low,atr_14,0.027384053717046813,0.0326899469146687,28545
dispersion_12h,low,rvol_24h,0.024230406653517077,0.02438829303050852,28545
dispersion_12h,low,ls_divergence,0.01425980758671885,0.022355413482669145,28545
dispersion_12h,low,cum_funding_24h,0.011931678173749408,0.018309350713503272,28545
dispersion_12h,low,rel_volume_cs,0.012384123664579446,0.01266584671541465,28545
dispersion_12h,low,rvol_12h,0.018848408595446776,0.009113387131287643,28545
dispersion_12h,low,taker_cvd_24h,-0.0003491894011674018,-0.0009030618757269449,28545
dispersion_12h,low,ret_skew_168h,0.006941078612999079,-0.0019889543841271,28545
