window,horizon,feature,mean_ic,t_stat,n_weeks,abs_ic
W1,24,oi_ret_diverge,-0.020878072587146534,-1.1110062895764925,25,0.020878072587146534
W1,24,taker_imbalance,-0.028533258959245168,-2.580825523971884,25,0.028533258959245168
W1,24,taker_cvd_4h,-0.04030921549949038,-2.1112647000868474,25,0.04030921549949038
W1,24,taker_cvd_12h,-0.050097883574890895,-2.0795386975120738,25,0.050097883574890895
W1,24,taker_cvd_24h,-0.04561423193067642,-1.8293015015846485,25,0.04561423193067642
W1,24,taker_zscore,-0.02408055048071549,-1.9614882421461635,25,0.02408055048071549
W1,24,top_ls_ratio_zscore,-0.07203348163350148,-2.824374288501879,25,0.07203348163350148
W1,24,global_ls_ratio_zscore,0.018680777604185583,0.7513018939669784,25,0.018680777604185583
W1,24,ls_divergence,-0.05272520677827007,-3.87373716025894,25,0.05272520677827007
W1,24,premium_index,-0.07276701303297935,-4.1142520387587505,25,0.07276701303297935
W1,24,premium_zscore,-0.05970097486786323,-3.5693377560106687,25,0.05970097486786323
W1,48,ret_1h,-0.019471423480979477,-2.1099849722726733,25,0.019471423480979477
W1,48,ret_4h,-0.03792229252471218,-2.085880823976484,25,0.03792229252471218
W1,48,ret_12h,-0.06108288925476764,-2.2795005585118986,25,0.06108288925476764
W1,48,ret_24h,-0.05557400762749579,-2.1231418461805625,25,0.05557400762749579
W1,48,ret_48h,-0.1512187128560199,-3.3334877702833223,25,0.1512187128560199
W1,48,ret_168h,-0.22024797936871995,-3.994132192411264,25,0.22024797936871995
W1,48,rvol_12h,0.05697469900033919,1.5375880884237554,25,0.05697469900033919
W1,48,rvol_24h,0.032483442145045976,0.7969392746282176,25,0.032483442145045976
W1,48,rvol_168h,-0.028490217382117784,-0.881917030322297,25,0.028490217382117784
W1,48,vol_ratio_12h,0.035661075928450206,0.7255178514623061,25,0.035661075928450206
W1,48,vol_ratio_24h,0.014465631324543564,0.28099647073066364,25,0.014465631324543564
W1,48,mom_z_12h,-0.053924945777428845,-2.1001477854535917,25,0.053924945777428845
W1,48,mom_z_24h,-0.051095518694730044,-2.077605980020707,25,0.051095518694730044
W1,48,range_24h,0.002071436100214908,0.07953991122533625,25,0.002071436100214908
W1,48,dist_from_high_24h,0.03364315048834371,1.3532485834108547,25,0.03364315048834371
W1,48,btc_ret_1h,-0.027969021915342965,-2.5221453974992505,25,0.027969021915342965
W1,48,btc_ret_4h,-0.04791848969831885,-2.037542841667676,25,0.04791848969831885
W1,48,btc_ret_12h,-0.0720062523378207,-2.094434847444054,25,0.0720062523378207
W1,48,btc_ret_24h,-0.08490492228253606,-1.78006961897491,25,0.08490492228253606
W1,48,btc_beta_168h,0.036934132500383424,1.3624191892104547,25,0.036934132500383424
W1,48,residual_12h,-0.0035990655656250414,-0.10498926803327184,25,0.0035990655656250414
W1,48,residual_24h,0.008167144177687964,0.23272320265652227,25,0.008167144177687964
W1,48,funding_rate_binance,-0.1203796233524956,-4.578147007539826,25,0.1203796233524956
W1,48,cum_funding_24h,-0.1449470397516096,-4.264499174817025,25,0.1449470397516096
W1,48,cum_funding_72h,-0.1216847095499067,-3.5108389036273056,25,0.1216847095499067
W1,48,cum_funding_168h,-0.09691831231205063,-2.5561302990279886,25,0.09691831231205063
W1,48,funding_zscore,-0.06374167454421802,-1.8560942517286514,25,0.06374167454421802
W1,48,funding_x_mom_12h,-0.01569812862995169,-0.6732465130582754,25,0.01569812862995169
W1,48,funding_x_mom_24h,-0.006520536102491863,-0.2654197302649945,25,0.006520536102491863
W1,48,oi_value_usd,-0.03276930999375846,-1.3253821160738297,25,0.03276930999375846
W1,48,taker_buy_sell_ratio,-0.025329914771433776,-2.6174641442975326,25,0.025329914771433776
W1,48,top_ls_ratio,-0.07190482421786279,-3.816792768062297,25,0.07190482421786279
W1,48,global_ls_ratio,0.01508974875278771,0.6035674906376507,25,0.01508974875278771
W1,48,oi_chg_1h,-0.015759869038235338,-2.2409501595822117,25,0.015759869038235338
W1,48,oi_chg_4h,-0.03553151513006722,-2.1055054795167822,25,0.03553151513006722
W1,48,oi_chg_12h,-0.045451916987947996,-2.23390101547148,25,0.045451916987947996
W1,48,oi_chg_24h,-0.044564927315931084,-1.5465925802853968,25,0.044564927315931084
W1,48,oi_zscore,-0.1810085184294076,-3.9337693705362122,25,0.1810085184294076
W1,48,oi_ret_diverge,-0.0046896391296046445,-0.24960865150418685,25,0.0046896391296046445
W1,48,taker_imbalance,-0.025329914771433776,-2.6174641442975326,25,0.025329914771433776
W1,48,taker_cvd_4h,-0.04324505908944827,-2.326032063908039,25,0.04324505908944827
W1,48,taker_cvd_12h,-0.05862338682526862,-2.304548403876489,25,0.05862338682526862
W1,48,taker_cvd_24h,-0.0551678342222886,-2.0060396098480333,25,0.0551678342222886
W1,48,taker_zscore,-0.01972073657113332,-1.72206485328291,25,0.01972073657113332
W1,48,top_ls_ratio_zscore,-0.1269422301679446,-3.884741231190593,25,0.1269422301679446
W1,48,global_ls_ratio_zscore,0.02819258104606142,0.9449374386475426,25,0.02819258104606142
W1,48,ls_divergence,-0.07606179767418514,-3.879119122586978,25,0.07606179767418514
W1,48,premium_index,-0.09284790020581202,-4.276678035248139,25,0.09284790020581202
W1,48,premium_zscore,-0.09163376433138821,-3.5939283656325336,25,0.09163376433138821
W2,1,ret_1h,-0.035544556144847105,-2.9724222088917167,24,0.035544556144847105
W2,1,ret_4h,-0.03546578597040183,-3.2143096222128564,24,0.03546578597040183
W2,1,ret_12h,-0.022854277062655175,-2.0707403653117944,24,0.022854277062655175
W2,1,ret_24h,-0.05356189631956496,-4.11292653811845,24,0.05356189631956496
W2,1,ret_48h,-0.03537044348621992,-2.514095001737865,24,0.03537044348621992
W2,1,ret_168h,-0.03725493578030912,-4.354083311219865,24,0.03725493578030912
W2,1,rvol_12h,0.008897994208675056,1.0776703504662788,24,0.008897994208675056
W2,1,rvol_24h,0.006047938350979897,0.5882774029095944,24,0.006047938350979897
W2,1,rvol_168h,-0.010834508478209846,-1.5905998333621552,24,0.010834508478209846
W2,1,vol_ratio_12h,0.018946868576639284,2.579942825503533,24,0.018946868576639284
W2,1,vol_ratio_24h,0.01915714619829326,2.1227891665211227,24,0.01915714619829326
W2,1,mom_z_12h,-0.02088173045070825,-2.1587982332246782,24,0.02088173045070825
W2,1,mom_z_24h,-0.049982245841067606,-4.227403617622874,24,0.049982245841067606
W2,1,range_24h,0.008964444874640161,3.901424892996763,24,0.008964444874640161
W2,1,dist_from_high_24h,0.03474529140823673,3.2779989763339943,24,0.03474529140823673
W2,1,btc_ret_1h,-0.03407555507258698,-2.6156604907325494,24,0.03407555507258698
W2,1,btc_ret_4h,-0.04797487948348458,-3.2647960751300076,24,0.04797487948348458
W2,1,btc_ret_12h,-0.031176404185200773,-2.384232879111689,24,0.031176404185200773
W2,1,btc_ret_24h,-0.061887070917912713,-4.235835528424781,24,0.061887070917912713
W2,1,btc_beta_168h,-0.00750214447907014,-1.221560704865863,24,0.00750214447907014
W2,1,residual_12h,0.0015964479949418149,0.16783524907841835,24,0.0015964479949418149
W2,1,residual_24h,-0.015019249478658367,-1.5238783847682933,24,0.015019249478658367
W2,1,funding_rate_binance,-0.01642839093677844,-2.598543464361953,24,0.01642839093677844
W2,1,cum_funding_24h,-0.0159912413111573,-2.2304633319712837,24,0.0159912413111573
W2,1,cum_funding_72h,-0.026030435306249367,-3.945881972996042,24,0.026030435306249367
W2,1,cum_funding_168h,-0.011923922588146544,-3.0432596126807145,24,0.011923922588146544
W2,1,funding_zscore,-0.008316185116445579,-1.2496211286987116,24,0.008316185116445579
W2,1,funding_x_mom_12h,-0.00359847135756822,-0.4763742494425458,24,0.00359847135756822
W2,1,funding_x_mom_24h,-0.010917708207466037,-1.2902518553100737,24,0.010917708207466037
W2,1,oi_value_usd,0.00013251328168538556,0.04402468941235933,24,0.00013251328168538556
W2,1,taker_buy_sell_ratio,-0.012668732234910114,-1.5553735000985063,24,0.012668732234910114
W2,1,top_ls_ratio,-0.006977243973733146,-2.6082833624379793,24,0.006977243973733146
W2,1,global_ls_ratio,0.004295337033431672,1.2735181908341078,24,0.004295337033431672
W2,1,oi_chg_1h,-0.028848687796813936,-2.853758865459478,24,0.028848687796813936
W2,1,oi_chg_4h,-0.035230384331253965,-4.2198085359883475,24,0.035230384331253965
W2,1,oi_chg_12h,-0.019932844608027783,-2.258662323726075,24,0.019932844608027783
W2,1,oi_chg_24h,-0.04090473020377707,-3.752928089206169,24,0.04090473020377707
W2,1,oi_zscore,-0.03790351669940004,-4.210098322329614,24,0.03790351669940004
W2,1,oi_ret_diverge,-0.0062012221752560034,-1.1905817252755684,24,0.0062012221752560034
W2,1,taker_imbalance,-0.012668732234910114,-1.5553735000985063,24,0.012668732234910114
W2,1,taker_cvd_4h,-0.021932845949344925,-2.59018617266095,24,0.021932845949344925
W2,1,taker_cvd_12h,-0.014335929751722756,-1.959106199968034,24,0.014335929751722756
W2,1,taker_cvd_24h,-0.01950485518277938,-2.2715114488044477,24,0.01950485518277938
W2,1,taker_zscore,-0.013444288189178316,-1.7020581163427813,24,0.013444288189178316
